count,link,meta,names,title
3,https://www.astrazeneca.com/media-centre/press-releases.html,"AstraZeneca - For all AstraZeneca Press Releases, view our Media Centre Press Release section.  ","José Baselga,Fiona Cicconi ",Press Releases - AstraZeneca
1,https://www.astrazeneca.com/media-centre.html,"AstraZeneca Media centre. The Hub for our Articles, Press Releases and Webcasts & Presentations. ",Fiona Cicconi ,Media Centre - AstraZeneca
2,https://www.astrazeneca.com/r-d/data-science-and-ai.html,,David Fredrickson,Data Science & Artificial Intelligence: Unlocking new science insights
2,https://www.astrazeneca.com/media-centre/press-releases/2021/update-on-farxiga-covid-19-dare-19-phase-iii-trial.html,,Menelas (Mene) Pangalos ,Update on the DARE-19 Phase III trial for Farxiga in COVID-19
1,https://openinnovation.astrazeneca.com/,,Menelas (Mene) Pangalos ,Open Innovation
12,https://www.astrazeneca.com/partnering/our-partnering-teams.html,,"David Fredrickson,Leon Wang",Our Partnering teams
1,https://www.astrazeneca.com/sustainability.html,"AstraZeneca is committed to corporate sustainability. Find information about our ethical approach to long-term consumer, employee and environmental value.",Katarina Ageborg,Sustainability - Our Company - AstraZeneca
1,https://www.astrazeneca.com/media-centre/contacts.html,,Fiona Cicconi ,Media contacts
1,https://www.astrazeneca.com/media-centre/archive.html,,Fiona Cicconi ,Archive
1,https://www.astrazeneca.com/media-centre/Broadcast.html,AstraZeneca - Broadcast Videos - Image and Broadcast Library - Media Centre ,Fiona Cicconi ,Broadcast Library - AstraZeneca
12,"https://www.glassdoor.co.uk/Overview/Working-at-AstraZeneca-EI_IE9214.11,22.htm",,Pascal Soriot,Working at AstraZeneca | Glassdoor.co.uk
1,https://www.astrazeneca.com/media-centre/covid-19-media.html,"Free to use, downloadable images, b-roll and videos which help explain AstraZeneca’s response to the COVID-19 pandemic.",Fiona Cicconi ,COVID-19 visual resources
289,https://www.astrazeneca.com/media-centre/image-and-broadcast-library.html,AstraZeneca - Image and Broadcast Library - Media Centre,"Leif Johansson,Pascal Soriot,Marc Dunoyer,Graham Chipchase,Euan Ashley,Geneviève Berger,Philip Broadley,Michel Demaré,Deborah DiSanzo,Diana Layfield,Sheri McCoy,Tony Mok,Nazneen Rahman,Marcus Wallenberg,Katarina Ageborg,José Baselga,Pam Cheng,Fiona Cicconi ,Ruud Dobber,David Fredrickson,Menelas (Mene) Pangalos ,Jeff Pott ,Iskra Reic,Leon Wang",Image and broadcast library - AstraZeneca
1,https://www.astrazeneca.com/media-centre/articles.html,"To see more AstraZeneca articles, visit our Media Centre article section. ",Fiona Cicconi ,Articles - AstraZeneca
109,https://www.astrazeneca.com/our-company/leadership.html,"Introducing AstraZeneca's Board of Directors, Senior Executives and Lead Scientists. Find information on each individual membership of the leadership team.","Leif Johansson,Pascal Soriot,Marc Dunoyer,Graham Chipchase,Euan Ashley,Geneviève Berger,Philip Broadley,Michel Demaré,Deborah DiSanzo,Diana Layfield,Sheri McCoy,Tony Mok,Nazneen Rahman,Marcus Wallenberg,Katarina Ageborg,Pam Cheng,Ruud Dobber,David Fredrickson,Menelas (Mene) Pangalos ,Jeff Pott ,Iskra Reic,Leon Wang",Leadership - Our Company - AstraZeneca
16,https://www.astrazeneca.com/our-company/our-commitment-to-patients.html,"Get to know AstraZeneca's commitments to patients, patient care and ongoing efforts to transform healthcare through data, digital and our global health innovation hubs.","Ruud Dobber,David Fredrickson",Our Commitment to Patients - AstraZeneca
6,https://www.astrazeneca.com/our-company/our-strategy.html,"To deliver business success in the face of an increasingly tough business environment, we are concentrating our skills and resources",Pascal Soriot,Our business strategy - Our Company - AstraZeneca
47,https://www.astrazeneca.com/our-company/our-people.html,Breaking new ground in science requires passionate and committed teams. Meet some of our people to learn more about the drive behind the work we do.,"Leif Johansson,Marc Dunoyer,David Fredrickson,Menelas (Mene) Pangalos ,Leon Wang",Our people - AstraZeneca
5,https://www.astrazeneca.com/our-therapy-areas/oncology.html,Our ambition is to push the boundaries of science to change the practice of medicine and transform the lives of patients living with cancer.,"José Baselga,David Fredrickson",Oncology - Our therapy areas - AstraZeneca
17,https://www.astrazeneca.com/our-company.html,"We are a global, science-led biopharmaceutical business and our innovative medicines are used by millions of patients worldwide.","Pascal Soriot,Menelas (Mene) Pangalos ",Our Company - AstraZeneca
1,https://www.astrazeneca.com/our-therapy-areas/cardiovascular-renal-and-metabolism.html,"Explore our resources and solutions to transform the lives of people with cardiovascular disease, heart failure, chronic kidney disease and diabetes.",Leon Wang,"Cardiovascular, Renal and Metabolism (CVRM) - AstraZeneca"
5,https://www.astrazeneca.com/r-d/next-generation-therapeutics.html,,Leif Johansson,Next generation therapeutics
4,https://app.convercent.com/en-us/LandingPage/39c4fa42-a267-ea11-a972-000d3ab9f296,,Pascal Soriot,
