company,date,name,title,year
Shell,,Ben van Beurden,Chief Executive Officer.,2021
Shell,,Jessica Uhl,Chief Financial Officer.,2021
Shell,,Harry Brekelmans,Projects & Technology Director.,2021
Shell,,Donny Ching,Legal Director.,2021
Shell,,Ronan Cassidy,Chief Human Resources & Corporate Officer.,2021
Shell,,Wael Sawan,Upstream Director.,2021
Shell,,Huibert Vigeveno,Downstream Director.,2021
Shell,,Maarten Wetselaar,Integrated Gas & New Energies Director.,2021
Shell,,Ben van Beurden,Chief Executive Officer.,2017
Shell,,Jessica Uhl,Chief Financial Officer.,2017
Shell,,John Abbott,Downstream Director.,2017
Shell,,Harry Brekelmans,Projects & Technology Director.,2017
Shell,,Andrew Brown,Upstream Director.,2017
Shell,,Ronan Cassidy,Chief Human Resources & Corporate Officer.,2017
Shell,,Donny Ching,Legal Director.,2017
Shell,,Maarten Wetselaar,Integrated Gas & New Energies Director.,2017
Shell,, Peter Voser,Chief Executive Officer,2013
Shell,, Simon Henry,Chief Financial Officer,2013
Shell,, Ben van Beurden,CEO designate,2013
Shell,, John Abbott,Downstream Director,2013
Shell,, Matthias Bichsel,Projects & Technology Director,2013
Shell,, Andrew Brown,Upstream International Director,2013
Shell,, Hugh Mitchell,Chief Human Resources & Corporate Officer,2013
Shell,, Marvin Odum,Upstream Americas Director,2013
Shell,, Peter Rees QC,Legal Director,2013
